date,age_format,cases
2020-03-02,0-4,0
2020-03-02,10-14,0
2020-03-02,15-19,0
2020-03-02,20-24,2
2020-03-02,25-29,0
2020-03-02,30-34,7
2020-03-02,35-39,2
2020-03-02,40-44,4
2020-03-02,45-49,8
2020-03-02,5-9,0
2020-03-02,50-54,6
2020-03-02,55-59,4
2020-03-02,60-64,2
2020-03-02,65-69,2
2020-03-02,70-74,2
2020-03-02,75-79,0
2020-03-02,80-84,0
2020-03-02,85-89,0
2020-03-02,90+,0
2020-03-03,0-4,1
2020-03-03,10-14,0
2020-03-03,15-19,1
2020-03-03,20-24,3
2020-03-03,25-29,6
2020-03-03,30-34,3
2020-03-03,35-39,2
2020-03-03,40-44,5
2020-03-03,45-49,7
2020-03-03,5-9,1
2020-03-03,50-54,1
2020-03-03,55-59,11
2020-03-03,60-64,5
2020-03-03,65-69,2
2020-03-03,70-74,2
2020-03-03,75-79,1
2020-03-03,80-84,2
2020-03-03,85-89,0
2020-03-03,90+,0
2020-03-04,0-4,0
2020-03-04,10-14,2
2020-03-04,15-19,0
2020-03-04,20-24,5
2020-03-04,25-29,5
2020-03-04,30-34,5
2020-03-04,35-39,6
2020-03-04,40-44,2
2020-03-04,45-49,4
2020-03-04,5-9,0
2020-03-04,50-54,7
2020-03-04,55-59,2
2020-03-04,60-64,3
2020-03-04,65-69,4
2020-03-04,70-74,2
2020-03-04,75-79,1
2020-03-04,80-84,1
2020-03-04,85-89,0
2020-03-04,90+,0
2020-03-05,0-4,0
2020-03-05,10-14,0
2020-03-05,15-19,2
2020-03-05,20-24,3
2020-03-05,25-29,5
2020-03-05,30-34,7
2020-03-05,35-39,7
2020-03-05,40-44,4
2020-03-05,45-49,1
2020-03-05,5-9,0
2020-03-05,50-54,8
2020-03-05,55-59,3
2020-03-05,60-64,1
2020-03-05,65-69,1
2020-03-05,70-74,2
2020-03-05,75-79,1
2020-03-05,80-84,1
2020-03-05,85-89,0
2020-03-05,90+,1
2020-03-06,0-4,1
2020-03-06,10-14,4
2020-03-06,15-19,1
2020-03-06,20-24,6
2020-03-06,25-29,11
2020-03-06,30-34,6
2020-03-06,35-39,2
2020-03-06,40-44,3
2020-03-06,45-49,6
2020-03-06,5-9,0
2020-03-06,50-54,5
2020-03-06,55-59,6
2020-03-06,60-64,9
2020-03-06,65-69,3
2020-03-06,70-74,4
2020-03-06,75-79,1
2020-03-06,80-84,2
2020-03-06,85-89,2
2020-03-06,90+,0
2020-03-07,0-4,0
2020-03-07,10-14,0
2020-03-07,15-19,3
2020-03-07,20-24,0
2020-03-07,25-29,3
2020-03-07,30-34,4
2020-03-07,35-39,2
2020-03-07,40-44,5
2020-03-07,45-49,6
2020-03-07,5-9,0
2020-03-07,50-54,4
2020-03-07,55-59,2
2020-03-07,60-64,5
2020-03-07,65-69,6
2020-03-07,70-74,4
2020-03-07,75-79,2
2020-03-07,80-84,2
2020-03-07,85-89,0
2020-03-07,90+,0
2020-03-08,0-4,0
2020-03-08,10-14,0
2020-03-08,15-19,0
2020-03-08,20-24,4
2020-03-08,25-29,7
2020-03-08,30-34,5
2020-03-08,35-39,3
2020-03-08,40-44,5
2020-03-08,45-49,4
2020-03-08,5-9,0
2020-03-08,50-54,3
2020-03-08,55-59,6
2020-03-08,60-64,2
2020-03-08,65-69,2
2020-03-08,70-74,1
2020-03-08,75-79,3
2020-03-08,80-84,2
2020-03-08,85-89,3
2020-03-08,90+,0
2020-03-09,0-4,1
2020-03-09,10-14,0
2020-03-09,15-19,1
2020-03-09,20-24,8
2020-03-09,25-29,8
2020-03-09,30-34,11
2020-03-09,35-39,11
2020-03-09,40-44,7
2020-03-09,45-49,11
2020-03-09,5-9,1
2020-03-09,50-54,16
2020-03-09,55-59,14
2020-03-09,60-64,10
2020-03-09,65-69,10
2020-03-09,70-74,5
2020-03-09,75-79,1
2020-03-09,80-84,3
2020-03-09,85-89,4
2020-03-09,90+,1
2020-03-10,0-4,2
2020-03-10,10-14,3
2020-03-10,15-19,4
2020-03-10,20-24,11
2020-03-10,25-29,15
2020-03-10,30-34,10
2020-03-10,35-39,14
2020-03-10,40-44,17
2020-03-10,45-49,15
2020-03-10,5-9,1
2020-03-10,50-54,20
2020-03-10,55-59,19
2020-03-10,60-64,22
2020-03-10,65-69,12
2020-03-10,70-74,21
2020-03-10,75-79,12
2020-03-10,80-84,9
2020-03-10,85-89,12
2020-03-10,90+,6
2020-03-11,0-4,1
2020-03-11,10-14,4
2020-03-11,15-19,5
2020-03-11,20-24,19
2020-03-11,25-29,30
2020-03-11,30-34,38
2020-03-11,35-39,25
2020-03-11,40-44,20
2020-03-11,45-49,29
2020-03-11,5-9,2
2020-03-11,50-54,26
2020-03-11,55-59,21
2020-03-11,60-64,21
2020-03-11,65-69,29
2020-03-11,70-74,19
2020-03-11,75-79,15
2020-03-11,80-84,18
2020-03-11,85-89,14
2020-03-11,90+,17
2020-03-12,0-4,1
2020-03-12,10-14,2
2020-03-12,15-19,4
2020-03-12,20-24,17
2020-03-12,25-29,37
2020-03-12,30-34,39
2020-03-12,35-39,32
2020-03-12,40-44,26
2020-03-12,45-49,21
2020-03-12,5-9,4
2020-03-12,50-54,31
2020-03-12,55-59,39
2020-03-12,60-64,31
2020-03-12,65-69,21
2020-03-12,70-74,19
2020-03-12,75-79,25
2020-03-12,80-84,24
2020-03-12,85-89,24
2020-03-12,90+,16
2020-03-13,0-4,2
2020-03-13,10-14,0
2020-03-13,15-19,1
2020-03-13,20-24,16
2020-03-13,25-29,22
2020-03-13,30-34,25
2020-03-13,35-39,21
2020-03-13,40-44,22
2020-03-13,45-49,19
2020-03-13,5-9,2
2020-03-13,50-54,35
2020-03-13,55-59,23
2020-03-13,60-64,30
2020-03-13,65-69,37
2020-03-13,70-74,31
2020-03-13,75-79,35
2020-03-13,80-84,28
2020-03-13,85-89,25
2020-03-13,90+,15
2020-03-14,0-4,5
2020-03-14,10-14,1
2020-03-14,15-19,0
2020-03-14,20-24,3
2020-03-14,25-29,17
2020-03-14,30-34,9
2020-03-14,35-39,9
2020-03-14,40-44,9
2020-03-14,45-49,18
2020-03-14,5-9,1
2020-03-14,50-54,16
2020-03-14,55-59,22
2020-03-14,60-64,16
2020-03-14,65-69,19
2020-03-14,70-74,33
2020-03-14,75-79,38
2020-03-14,80-84,33
2020-03-14,85-89,41
2020-03-14,90+,22
2020-03-15,0-4,3
2020-03-15,10-14,3
2020-03-15,15-19,2
2020-03-15,20-24,6
2020-03-15,25-29,9
2020-03-15,30-34,12
2020-03-15,35-39,22
2020-03-15,40-44,11
2020-03-15,45-49,23
2020-03-15,5-9,0
2020-03-15,50-54,33
2020-03-15,55-59,23
2020-03-15,60-64,28
2020-03-15,65-69,34
2020-03-15,70-74,37
2020-03-15,75-79,49
2020-03-15,80-84,40
2020-03-15,85-89,35
2020-03-15,90+,27
2020-03-16,0-4,3
2020-03-16,10-14,0
2020-03-16,15-19,6
2020-03-16,20-24,5
2020-03-16,25-29,15
2020-03-16,30-34,20
2020-03-16,35-39,13
2020-03-16,40-44,19
2020-03-16,45-49,26
2020-03-16,5-9,0
2020-03-16,50-54,35
2020-03-16,55-59,43
2020-03-16,60-64,34
2020-03-16,65-69,39
2020-03-16,70-74,56
2020-03-16,75-79,66
2020-03-16,80-84,59
2020-03-16,85-89,68
2020-03-16,90+,40
2020-03-17,0-4,6
2020-03-17,10-14,0
2020-03-17,15-19,5
2020-03-17,20-24,9
2020-03-17,25-29,30
2020-03-17,30-34,34
2020-03-17,35-39,29
2020-03-17,40-44,33
2020-03-17,45-49,30
2020-03-17,5-9,1
2020-03-17,50-54,54
2020-03-17,55-59,45
2020-03-17,60-64,38
2020-03-17,65-69,40
2020-03-17,70-74,68
2020-03-17,75-79,68
2020-03-17,80-84,69
2020-03-17,85-89,73
2020-03-17,90+,45
2020-03-18,0-4,8
2020-03-18,10-14,1
2020-03-18,15-19,6
2020-03-18,20-24,15
2020-03-18,25-29,25
2020-03-18,30-34,58
2020-03-18,35-39,34
2020-03-18,40-44,50
2020-03-18,45-49,48
2020-03-18,5-9,0
2020-03-18,50-54,65
2020-03-18,55-59,68
2020-03-18,60-64,58
2020-03-18,65-69,55
2020-03-18,70-74,73
2020-03-18,75-79,87
2020-03-18,80-84,91
2020-03-18,85-89,94
2020-03-18,90+,68
2020-03-19,0-4,7
2020-03-19,10-14,0
2020-03-19,15-19,6
2020-03-19,20-24,16
2020-03-19,25-29,29
2020-03-19,30-34,38
2020-03-19,35-39,43
2020-03-19,40-44,40
2020-03-19,45-49,59
2020-03-19,5-9,1
2020-03-19,50-54,81
2020-03-19,55-59,70
2020-03-19,60-64,70
2020-03-19,65-69,47
2020-03-19,70-74,73
2020-03-19,75-79,87
2020-03-19,80-84,98
2020-03-19,85-89,73
2020-03-19,90+,77
2020-03-20,0-4,6
2020-03-20,10-14,4
2020-03-20,15-19,5
2020-03-20,20-24,22
2020-03-20,25-29,38
2020-03-20,30-34,44
2020-03-20,35-39,57
2020-03-20,40-44,47
2020-03-20,45-49,50
2020-03-20,5-9,3
2020-03-20,50-54,97
2020-03-20,55-59,84
2020-03-20,60-64,84
2020-03-20,65-69,80
2020-03-20,70-74,70
2020-03-20,75-79,91
2020-03-20,80-84,113
2020-03-20,85-89,83
2020-03-20,90+,89
2020-03-21,0-4,6
2020-03-21,10-14,3
2020-03-21,15-19,8
2020-03-21,20-24,14
2020-03-21,25-29,25
2020-03-21,30-34,38
2020-03-21,35-39,41
2020-03-21,40-44,53
2020-03-21,45-49,58
2020-03-21,5-9,1
2020-03-21,50-54,70
2020-03-21,55-59,81
2020-03-21,60-64,83
2020-03-21,65-69,79
2020-03-21,70-74,90
2020-03-21,75-79,91
2020-03-21,80-84,104
2020-03-21,85-89,104
2020-03-21,90+,75
2020-03-22,0-4,11
2020-03-22,10-14,0
2020-03-22,15-19,9
2020-03-22,20-24,12
2020-03-22,25-29,41
2020-03-22,30-34,51
2020-03-22,35-39,55
2020-03-22,40-44,50
2020-03-22,45-49,64
2020-03-22,5-9,1
2020-03-22,50-54,72
2020-03-22,55-59,89
2020-03-22,60-64,93
2020-03-22,65-69,84
2020-03-22,70-74,111
2020-03-22,75-79,124
2020-03-22,80-84,153
2020-03-22,85-89,104
2020-03-22,90+,81
2020-03-23,0-4,21
2020-03-23,10-14,8
2020-03-23,15-19,17
2020-03-23,20-24,32
2020-03-23,25-29,66
2020-03-23,30-34,80
2020-03-23,35-39,78
2020-03-23,40-44,105
2020-03-23,45-49,120
2020-03-23,5-9,2
2020-03-23,50-54,156
2020-03-23,55-59,132
2020-03-23,60-64,138
2020-03-23,65-69,121
2020-03-23,70-74,146
2020-03-23,75-79,218
2020-03-23,80-84,209
2020-03-23,85-89,195
2020-03-23,90+,164
2020-03-24,0-4,21
2020-03-24,10-14,4
2020-03-24,15-19,11
2020-03-24,20-24,33
2020-03-24,25-29,74
2020-03-24,30-34,89
2020-03-24,35-39,83
2020-03-24,40-44,96
2020-03-24,45-49,110
2020-03-24,5-9,4
2020-03-24,50-54,151
2020-03-24,55-59,137
2020-03-24,60-64,146
2020-03-24,65-69,141
2020-03-24,70-74,169
2020-03-24,75-79,178
2020-03-24,80-84,226
2020-03-24,85-89,193
2020-03-24,90+,139
2020-03-25,0-4,17
2020-03-25,10-14,5
2020-03-25,15-19,13
2020-03-25,20-24,38
2020-03-25,25-29,85
2020-03-25,30-34,74
2020-03-25,35-39,91
2020-03-25,40-44,94
2020-03-25,45-49,140
2020-03-25,5-9,5
2020-03-25,50-54,156
2020-03-25,55-59,182
2020-03-25,60-64,143
2020-03-25,65-69,152
2020-03-25,70-74,198
2020-03-25,75-79,206
2020-03-25,80-84,251
2020-03-25,85-89,210
2020-03-25,90+,162
2020-03-26,0-4,15
2020-03-26,10-14,7
2020-03-26,15-19,13
2020-03-26,20-24,31
2020-03-26,25-29,83
2020-03-26,30-34,99
2020-03-26,35-39,99
2020-03-26,40-44,108
2020-03-26,45-49,153
2020-03-26,5-9,3
2020-03-26,50-54,206
2020-03-26,55-59,178
2020-03-26,60-64,160
2020-03-26,65-69,187
2020-03-26,70-74,213
2020-03-26,75-79,274
2020-03-26,80-84,280
2020-03-26,85-89,266
2020-03-26,90+,194
2020-03-27,0-4,15
2020-03-27,10-14,5
2020-03-27,15-19,17
2020-03-27,20-24,35
2020-03-27,25-29,75
2020-03-27,30-34,97
2020-03-27,35-39,101
2020-03-27,40-44,115
2020-03-27,45-49,146
2020-03-27,5-9,7
2020-03-27,50-54,177
2020-03-27,55-59,199
2020-03-27,60-64,182
2020-03-27,65-69,187
2020-03-27,70-74,243
2020-03-27,75-79,275
2020-03-27,80-84,285
2020-03-27,85-89,250
2020-03-27,90+,181
2020-03-28,0-4,21
2020-03-28,10-14,4
2020-03-28,15-19,6
2020-03-28,20-24,46
2020-03-28,25-29,62
2020-03-28,30-34,100
2020-03-28,35-39,80
2020-03-28,40-44,92
2020-03-28,45-49,134
2020-03-28,5-9,4
2020-03-28,50-54,150
2020-03-28,55-59,203
2020-03-28,60-64,185
2020-03-28,65-69,167
2020-03-28,70-74,223
2020-03-28,75-79,252
2020-03-28,80-84,253
2020-03-28,85-89,217
2020-03-28,90+,155
2020-03-29,0-4,16
2020-03-29,10-14,6
2020-03-29,15-19,7
2020-03-29,20-24,32
2020-03-29,25-29,70
2020-03-29,30-34,75
2020-03-29,35-39,80
2020-03-29,40-44,116
2020-03-29,45-49,143
2020-03-29,5-9,2
2020-03-29,50-54,184
2020-03-29,55-59,193
2020-03-29,60-64,152
2020-03-29,65-69,199
2020-03-29,70-74,231
2020-03-29,75-79,248
2020-03-29,80-84,302
2020-03-29,85-89,198
2020-03-29,90+,166
2020-03-30,0-4,18
2020-03-30,10-14,5
2020-03-30,15-19,19
2020-03-30,20-24,61
2020-03-30,25-29,129
2020-03-30,30-34,139
2020-03-30,35-39,136
2020-03-30,40-44,165
2020-03-30,45-49,228
2020-03-30,5-9,9
2020-03-30,50-54,246
2020-03-30,55-59,267
2020-03-30,60-64,248
2020-03-30,65-69,234
2020-03-30,70-74,283
2020-03-30,75-79,355
2020-03-30,80-84,387
2020-03-30,85-89,324
2020-03-30,90+,241
2020-03-31,0-4,23
2020-03-31,10-14,10
2020-03-31,15-19,12
2020-03-31,20-24,59
2020-03-31,25-29,133
2020-03-31,30-34,162
2020-03-31,35-39,147
2020-03-31,40-44,192
2020-03-31,45-49,221
2020-03-31,5-9,7
2020-03-31,50-54,296
2020-03-31,55-59,308
2020-03-31,60-64,262
2020-03-31,65-69,243
2020-03-31,70-74,309
2020-03-31,75-79,379
2020-03-31,80-84,386
2020-03-31,85-89,354
2020-03-31,90+,241
2020-04-01,0-4,18
2020-04-01,10-14,9
2020-04-01,15-19,30
2020-04-01,20-24,65
2020-04-01,25-29,161
2020-04-01,30-34,194
2020-04-01,35-39,196
2020-04-01,40-44,216
2020-04-01,45-49,268
2020-04-01,5-9,6
2020-04-01,50-54,325
2020-04-01,55-59,300
2020-04-01,60-64,289
2020-04-01,65-69,260
2020-04-01,70-74,336
2020-04-01,75-79,372
2020-04-01,80-84,406
2020-04-01,85-89,357
2020-04-01,90+,234
2020-04-02,0-4,20
2020-04-02,10-14,12
2020-04-02,15-19,19
2020-04-02,20-24,81
2020-04-02,25-29,178
2020-04-02,30-34,179
2020-04-02,35-39,189
2020-04-02,40-44,230
2020-04-02,45-49,284
2020-04-02,5-9,7
2020-04-02,50-54,316
2020-04-02,55-59,338
2020-04-02,60-64,301
2020-04-02,65-69,270
2020-04-02,70-74,316
2020-04-02,75-79,310
2020-04-02,80-84,374
2020-04-02,85-89,333
2020-04-02,90+,264
2020-04-03,0-4,20
2020-04-03,10-14,10
2020-04-03,15-19,18
2020-04-03,20-24,84
2020-04-03,25-29,190
2020-04-03,30-34,186
2020-04-03,35-39,195
2020-04-03,40-44,198
2020-04-03,45-49,310
2020-04-03,5-9,9
2020-04-03,50-54,316
2020-04-03,55-59,291
2020-04-03,60-64,309
2020-04-03,65-69,260
2020-04-03,70-74,285
2020-04-03,75-79,371
2020-04-03,80-84,410
2020-04-03,85-89,337
2020-04-03,90+,240
2020-04-04,0-4,17
2020-04-04,10-14,9
2020-04-04,15-19,21
2020-04-04,20-24,53
2020-04-04,25-29,177
2020-04-04,30-34,145
2020-04-04,35-39,153
2020-04-04,40-44,214
2020-04-04,45-49,246
2020-04-04,5-9,4
2020-04-04,50-54,276
2020-04-04,55-59,273
2020-04-04,60-64,249
2020-04-04,65-69,190
2020-04-04,70-74,254
2020-04-04,75-79,306
2020-04-04,80-84,308
2020-04-04,85-89,264
2020-04-04,90+,174
2020-04-05,0-4,19
2020-04-05,10-14,3
2020-04-05,15-19,13
2020-04-05,20-24,67
2020-04-05,25-29,131
2020-04-05,30-34,154
2020-04-05,35-39,153
2020-04-05,40-44,186
2020-04-05,45-49,204
2020-04-05,5-9,4
2020-04-05,50-54,219
2020-04-05,55-59,235
2020-04-05,60-64,223
2020-04-05,65-69,183
2020-04-05,70-74,241
2020-04-05,75-79,235
2020-04-05,80-84,285
2020-04-05,85-89,285
2020-04-05,90+,200
2020-04-06,0-4,17
2020-04-06,10-14,12
2020-04-06,15-19,24
2020-04-06,20-24,94
2020-04-06,25-29,242
2020-04-06,30-34,229
2020-04-06,35-39,233
2020-04-06,40-44,298
2020-04-06,45-49,346
2020-04-06,5-9,8
2020-04-06,50-54,358
2020-04-06,55-59,353
2020-04-06,60-64,279
2020-04-06,65-69,228
2020-04-06,70-74,267
2020-04-06,75-79,323
2020-04-06,80-84,408
2020-04-06,85-89,334
2020-04-06,90+,247
2020-04-07,0-4,14
2020-04-07,10-14,17
2020-04-07,15-19,24
2020-04-07,20-24,109
2020-04-07,25-29,272
2020-04-07,30-34,262
2020-04-07,35-39,258
2020-04-07,40-44,252
2020-04-07,45-49,390
2020-04-07,5-9,12
2020-04-07,50-54,415
2020-04-07,55-59,385
2020-04-07,60-64,330
2020-04-07,65-69,228
2020-04-07,70-74,264
2020-04-07,75-79,326
2020-04-07,80-84,368
2020-04-07,85-89,315
2020-04-07,90+,254
2020-04-08,0-4,11
2020-04-08,10-14,11
2020-04-08,15-19,22
2020-04-08,20-24,114
2020-04-08,25-29,271
2020-04-08,30-34,298
2020-04-08,35-39,219
2020-04-08,40-44,223
2020-04-08,45-49,351
2020-04-08,5-9,7
2020-04-08,50-54,367
2020-04-08,55-59,353
2020-04-08,60-64,272
2020-04-08,65-69,221
2020-04-08,70-74,261
2020-04-08,75-79,282
2020-04-08,80-84,346
2020-04-08,85-89,316
2020-04-08,90+,282
2020-04-09,0-4,13
2020-04-09,10-14,9
2020-04-09,15-19,24
2020-04-09,20-24,109
2020-04-09,25-29,244
2020-04-09,30-34,268
2020-04-09,35-39,217
2020-04-09,40-44,253
2020-04-09,45-49,327
2020-04-09,5-9,9
2020-04-09,50-54,345
2020-04-09,55-59,336
2020-04-09,60-64,260
2020-04-09,65-69,203
2020-04-09,70-74,227
2020-04-09,75-79,273
2020-04-09,80-84,327
2020-04-09,85-89,301
2020-04-09,90+,249
2020-04-10,0-4,9
2020-04-10,10-14,14
2020-04-10,15-19,21
2020-04-10,20-24,80
2020-04-10,25-29,225
2020-04-10,30-34,239
2020-04-10,35-39,187
2020-04-10,40-44,249
2020-04-10,45-49,270
2020-04-10,5-9,13
2020-04-10,50-54,288
2020-04-10,55-59,303
2020-04-10,60-64,198
2020-04-10,65-69,180
2020-04-10,70-74,181
2020-04-10,75-79,225
2020-04-10,80-84,269
2020-04-10,85-89,328
2020-04-10,90+,248
2020-04-11,0-4,20
2020-04-11,10-14,10
2020-04-11,15-19,19
2020-04-11,20-24,92
2020-04-11,25-29,188
2020-04-11,30-34,212
2020-04-11,35-39,170
2020-04-11,40-44,184
2020-04-11,45-49,239
2020-04-11,5-9,7
2020-04-11,50-54,243
2020-04-11,55-59,214
2020-04-11,60-64,191
2020-04-11,65-69,126
2020-04-11,70-74,171
2020-04-11,75-79,195
2020-04-11,80-84,265
2020-04-11,85-89,255
2020-04-11,90+,185
2020-04-12,0-4,15
2020-04-12,10-14,10
2020-04-12,15-19,11
2020-04-12,20-24,72
2020-04-12,25-29,173
2020-04-12,30-34,170
2020-04-12,35-39,194
2020-04-12,40-44,209
2020-04-12,45-49,231
2020-04-12,5-9,3
2020-04-12,50-54,273
2020-04-12,55-59,241
2020-04-12,60-64,193
2020-04-12,65-69,118
2020-04-12,70-74,152
2020-04-12,75-79,191
2020-04-12,80-84,220
2020-04-12,85-89,247
2020-04-12,90+,192
2020-04-13,0-4,14
2020-04-13,10-14,4
2020-04-13,15-19,18
2020-04-13,20-24,108
2020-04-13,25-29,225
2020-04-13,30-34,248
2020-04-13,35-39,189
2020-04-13,40-44,238
2020-04-13,45-49,251
2020-04-13,5-9,5
2020-04-13,50-54,321
2020-04-13,55-59,289
2020-04-13,60-64,189
2020-04-13,65-69,135
2020-04-13,70-74,185
2020-04-13,75-79,202
2020-04-13,80-84,236
2020-04-13,85-89,267
2020-04-13,90+,227
2020-04-14,0-4,20
2020-04-14,10-14,13
2020-04-14,15-19,26
2020-04-14,20-24,109
2020-04-14,25-29,264
2020-04-14,30-34,244
2020-04-14,35-39,222
2020-04-14,40-44,244
2020-04-14,45-49,275
2020-04-14,5-9,6
2020-04-14,50-54,265
2020-04-14,55-59,300
2020-04-14,60-64,211
2020-04-14,65-69,140
2020-04-14,70-74,162
2020-04-14,75-79,200
2020-04-14,80-84,241
2020-04-14,85-89,251
2020-04-14,90+,235
2020-04-15,0-4,15
2020-04-15,10-14,6
2020-04-15,15-19,32
2020-04-15,20-24,136
2020-04-15,25-29,316
2020-04-15,30-34,297
2020-04-15,35-39,287
2020-04-15,40-44,320
2020-04-15,45-49,348
2020-04-15,5-9,12
2020-04-15,50-54,391
2020-04-15,55-59,391
2020-04-15,60-64,232
2020-04-15,65-69,145
2020-04-15,70-74,159
2020-04-15,75-79,221
2020-04-15,80-84,291
2020-04-15,85-89,267
2020-04-15,90+,281
2020-04-16,0-4,9
2020-04-16,10-14,8
2020-04-16,15-19,17
2020-04-16,20-24,176
2020-04-16,25-29,340
2020-04-16,30-34,300
2020-04-16,35-39,272
2020-04-16,40-44,294
2020-04-16,45-49,380
2020-04-16,5-9,12
2020-04-16,50-54,409
2020-04-16,55-59,340
2020-04-16,60-64,287
2020-04-16,65-69,152
2020-04-16,70-74,195
2020-04-16,75-79,211
2020-04-16,80-84,279
2020-04-16,85-89,311
2020-04-16,90+,306
2020-04-17,0-4,14
2020-04-17,10-14,14
2020-04-17,15-19,38
2020-04-17,20-24,139
2020-04-17,25-29,260
2020-04-17,30-34,301
2020-04-17,35-39,276
2020-04-17,40-44,276
2020-04-17,45-49,318
2020-04-17,5-9,10
2020-04-17,50-54,382
2020-04-17,55-59,330
2020-04-17,60-64,236
2020-04-17,65-69,149
2020-04-17,70-74,145
2020-04-17,75-79,214
2020-04-17,80-84,284
2020-04-17,85-89,311
2020-04-17,90+,294
2020-04-18,0-4,12
2020-04-18,10-14,6
2020-04-18,15-19,50
2020-04-18,20-24,181
2020-04-18,25-29,335
2020-04-18,30-34,298
2020-04-18,35-39,307
2020-04-18,40-44,295
2020-04-18,45-49,383
2020-04-18,5-9,9
2020-04-18,50-54,401
2020-04-18,55-59,376
2020-04-18,60-64,240
2020-04-18,65-69,131
2020-04-18,70-74,123
2020-04-18,75-79,182
2020-04-18,80-84,251
2020-04-18,85-89,233
2020-04-18,90+,264
2020-04-19,0-4,7
2020-04-19,10-14,5
2020-04-19,15-19,33
2020-04-19,20-24,132
2020-04-19,25-29,299
2020-04-19,30-34,248
2020-04-19,35-39,220
2020-04-19,40-44,252
2020-04-19,45-49,322
2020-04-19,5-9,9
2020-04-19,50-54,385
2020-04-19,55-59,332
2020-04-19,60-64,228
2020-04-19,65-69,108
2020-04-19,70-74,114
2020-04-19,75-79,150
2020-04-19,80-84,185
2020-04-19,85-89,195
2020-04-19,90+,219
2020-04-20,0-4,13
2020-04-20,10-14,10
2020-04-20,15-19,14
2020-04-20,20-24,138
2020-04-20,25-29,264
2020-04-20,30-34,268
2020-04-20,35-39,209
2020-04-20,40-44,238
2020-04-20,45-49,292
2020-04-20,5-9,9
2020-04-20,50-54,296
2020-04-20,55-59,259
2020-04-20,60-64,248
2020-04-20,65-69,141
2020-04-20,70-74,140
2020-04-20,75-79,189
2020-04-20,80-84,268
2020-04-20,85-89,321
2020-04-20,90+,314
2020-04-21,0-4,12
2020-04-21,10-14,12
2020-04-21,15-19,38
2020-04-21,20-24,168
2020-04-21,25-29,272
2020-04-21,30-34,308
2020-04-21,35-39,236
2020-04-21,40-44,283
2020-04-21,45-49,289
2020-04-21,5-9,5
2020-04-21,50-54,352
2020-04-21,55-59,332
2020-04-21,60-64,224
2020-04-21,65-69,131
2020-04-21,70-74,168
2020-04-21,75-79,185
2020-04-21,80-84,293
2020-04-21,85-89,300
2020-04-21,90+,306
2020-04-22,0-4,10
2020-04-22,10-14,18
2020-04-22,15-19,54
2020-04-22,20-24,211
2020-04-22,25-29,353
2020-04-22,30-34,375
2020-04-22,35-39,329
2020-04-22,40-44,366
2020-04-22,45-49,415
2020-04-22,5-9,7
2020-04-22,50-54,527
2020-04-22,55-59,425
2020-04-22,60-64,324
2020-04-22,65-69,139
2020-04-22,70-74,141
2020-04-22,75-79,180
2020-04-22,80-84,263
2020-04-22,85-89,289
2020-04-22,90+,327
2020-04-23,0-4,10
2020-04-23,10-14,15
2020-04-23,15-19,62
2020-04-23,20-24,219
2020-04-23,25-29,313
2020-04-23,30-34,331
2020-04-23,35-39,309
2020-04-23,40-44,310
2020-04-23,45-49,390
2020-04-23,5-9,17
2020-04-23,50-54,421
2020-04-23,55-59,386
2020-04-23,60-64,271
2020-04-23,65-69,141
2020-04-23,70-74,165
2020-04-23,75-79,205
2020-04-23,80-84,249
2020-04-23,85-89,320
2020-04-23,90+,359
2020-04-24,0-4,9
2020-04-24,10-14,16
2020-04-24,15-19,57
2020-04-24,20-24,193
2020-04-24,25-29,339
2020-04-24,30-34,298
2020-04-24,35-39,305
2020-04-24,40-44,271
2020-04-24,45-49,341
2020-04-24,5-9,15
2020-04-24,50-54,401
2020-04-24,55-59,324
2020-04-24,60-64,257
2020-04-24,65-69,149
2020-04-24,70-74,160
2020-04-24,75-79,193
2020-04-24,80-84,289
2020-04-24,85-89,293
2020-04-24,90+,339
2020-04-25,0-4,3
2020-04-25,10-14,10
2020-04-25,15-19,42
2020-04-25,20-24,165
2020-04-25,25-29,249
2020-04-25,30-34,252
2020-04-25,35-39,247
2020-04-25,40-44,215
2020-04-25,45-49,288
2020-04-25,5-9,9
2020-04-25,50-54,307
2020-04-25,55-59,280
2020-04-25,60-64,185
2020-04-25,65-69,100
2020-04-25,70-74,100
2020-04-25,75-79,138
2020-04-25,80-84,188
2020-04-25,85-89,241
2020-04-25,90+,238
2020-04-26,0-4,4
2020-04-26,10-14,10
2020-04-26,15-19,44
2020-04-26,20-24,165
2020-04-26,25-29,218
2020-04-26,30-34,239
2020-04-26,35-39,220
2020-04-26,40-44,230
2020-04-26,45-49,282
2020-04-26,5-9,6
2020-04-26,50-54,272
2020-04-26,55-59,277
2020-04-26,60-64,194
2020-04-26,65-69,110
2020-04-26,70-74,100
2020-04-26,75-79,108
2020-04-26,80-84,144
2020-04-26,85-89,177
2020-04-26,90+,183
2020-04-27,0-4,12
2020-04-27,10-14,10
2020-04-27,15-19,49
2020-04-27,20-24,196
2020-04-27,25-29,280
2020-04-27,30-34,260
2020-04-27,35-39,227
2020-04-27,40-44,265
2020-04-27,45-49,276
2020-04-27,5-9,10
2020-04-27,50-54,379
2020-04-27,55-59,339
2020-04-27,60-64,232
2020-04-27,65-69,128
2020-04-27,70-74,128
2020-04-27,75-79,159
