NTdelay,count,frequency
0,35217,0.14126127137952058
1,50821,0.20385152263902706
2,40567,0.16272101530661362
3,30673,0.12303452812630362
4,24198,0.0970622212238873
5,18876,0.07571478997529121
6,14574,0.058458749157654914
7,11476,0.04603215351538684
8,8694,0.03487308667329846
9,6444,0.02584796072265186
10,4348,0.01744055450373841
11,2390,0.009586689343131278
12,950,0.0038106087347174536
13,55,2.2061418990469467e-4
14,21,8.42345088727016e-5
